stop_words_removed_qns,tag1
Pak Chanek n blank heartshape card Card 1 attach directly wall card hang exactly card piece string specifically card 1 hang card p_i p_i iIn begin Pak Chanek write integer number card he choose permutation 1 2 dot n then number write card a_iafter Pak Chanek follow operation n time maintain sequence s initially Choose card x card hang Append number write card x end s if x neq 1 number card p_x large number card x replace number card p_x number card x Remove card x after Pak Chanek sequence s n element what maximum length long nondecrease subsequencedagger s end Pak chanek step optimallydagger a sequence b subsequence sequence c b obtain c deletion possibly zero element for example 31 subsequence 321 431 31 1337 3104,tree
Monocarp dictionary n word consist 12 letter latin alphabet the word number 1 n in pair adjacent character word character different for word Monocarp integer c_i denote use wordmonocarp want design keyboard allow type word easily a keyboard denote sequence 12 letter latin alphabet letter l appear exactly oncea word type keyboard easily pair adjacent character word character adjacent keyboard the optimality keyboard sum c_i word type easily ithelp Monocarp design keyboard maximum possible optimality,string
your task maintain queue consist lowercase English letter follow push c insert letter c queue pop delete letter queue Initially queue after operation ask count number distinct palindromic substring string obtain concatenate letter queueespecially number distinct palindromic substring string 0 a string s1n length n palindromic si sni1 1 leq leq n the string slr substre string s1n 1 leq l leq r leq n two string s1n t1 m distinct follow hold n neq m si neq ti 1 leq leq minnm,string
Ela need send large package machine 1 machine n network machine currently network condition complain network slow package can not arrive time Luckily Wiring Wizard offer help handThe network represent undirected connect graph n node node represent machine m wire connect Wire connect machine u_i v_i weight w_i the aforementioned large package go wire machine u_i machine v_i vice versa exactly w_i microsecond the Wiring Wizard use spell arbitrary number time for spell choose wire index connect machine u_i v_i rewire follow step choose machine connect wire without loss generality let choose v_i choose machine currently connect v_i include u_i t_i Disconnect wire index v_i connect u_i t_i the rewire wire take w_i microsecond weight wire change operation after rewire machine wire connect also Wiring Wizard warn Ela rewiring cause temporary disconnection machine Ela ignore her mission send large package machine 1 machine n fast possible note Wizard use spell wire zero time to sure network work seamlessly transfer large package package start transfer machine 1 Wiring Wizard use spell wire anymoreEla wonder help Wiring Wizard time need transfer large package machine 1 n,graph
Ela love read lot like new coworker DTL on day engineer DTL challenge coworker sort heap book different compartment shelfn book split k compartment bookshelf n divisible k each book represent lowercase Latin letter y inclusively begin letter title bookela stack exactly fracnk book compartment after book stack compartment index 1 k take minimum exclude MEX letter multiset letter form letter represent book compartment combine result letter stre the letter result stre MEX letter multiset letter form compartment second letter result stre MEX letter multiset letter form second compartment please note constraint problem MEX letter determine multiset find problem z usedwhat lexicographically great result string possible Ela createA string lexicographically great string b follow hold b prefix b ne position b differ string letter appear later alphabet corresponding letter b the minimum exclude MEX letter multiset letter letter appear early alphabet contain multiset for example multiset letter contain 7 letter b b c e c f respectively MEX letter compartment d d include multiset letter come d alphabet b c include multiset,string
everool binary string s length 2n note binary string string consist character 0 1 he want partition s disjoint equal subsequence he need help itYou allow follow operation exactly you choose subsequence possibly s rotate right position in word select sequence index b_1 b_2 ldot b_m 1 le b_1 b_2 ldot b_m le 2n after simultaneously set s_b_1 s_b_m s_b_2 s_b_1 ldot s_b_m s_b_m1Can partition s disjoint equal subsequence perform allow operation exactly oncea partition s disjoint equal subsequence sp sq increase array indice p_1 p_2 ldot p_n q_1 q_2 ldot q_n integer 1 2n encounter p q exactly sp s_p_1 s_p_2 ldot s_p_n sq s_q_1 s_q_2 ldot s_q_n sp sqIf possible partition perform kind operation report 1 if possible operation partition s disjoint subsequence sp sq sp sq print element b index sp ie value p_1 p_2 ldot p_n,string
there n house city arrange axis point h_1 h_2 ldot h_n you want build new house consider option place point p_1 p_2a like visit friend calculate advance distance option exist house more formally calculate array d_1 d_2 d_i j leftp_i h_jright x define absolute value xAfter long time inactivity forget location house h option p_1 p_2 but diary keep arrays d_1 d_2 authenticity doubt also value inside array shuffle value position d_1 d_2 correspond different house pay attention value array word value array d_1 correspond distance p_1 house array d_2 p_2 housesalso pay attention location house h_i consider option p_j match for example location correct h 1 0 3 3 p 1 1 correspond shuffle d_1 0 2 1 2 d_2 2 2 1 0check location house h consider point p_1 p_2 found array distance correct if possible find appropriate location house consider option,graph
there conveyor 120 row 120 column each row column number 0 119 cell ith row jth column denote j the leftmost cell 0 0 each cell belt belt initially face rightinitially slime ball belt 0 0 belt every second state conveyor change follow all slime ball conveyor cell direction belt time if cell move position slime get conveyor slime ball cell merge all belt slime ball previous second change direction time belt face right face vice versa a new slime ball place cell 0 0 there q query integer t x y you find slime cell x y t second start can,graph
you give array n integer you perform follow operation k time Choose indice j bmod k j bmod k 1 le j le n Swap a_i a_j after perform operation select k consecutive element sum k element score find maximum score getHere x bmod y denote remainder dividing x y,tree
you give array integer a_1 a_2 ldot a_n b_1 b_2 ldot b_n you need handle q query follow type 1 l r x assign a_i x l leq leq r 2 l r find minimum value follow expression l leq leq r fracoperatornamelcma_i b_igcda_i b_iin problem gcdx y denote great common divisor x y operatornamelcmx y denote common multiple x y,graph
give string s decimal digit 09 length nA substre sequence consecutive character stre the substre string define pair index leave right end so pair index l r 1 le l le r le n correspond substre string s we define vlr numeric value correspond substre lead zero allow itfor example n7 s1003004 v13100 v230 v273004You give n s integer w 1 le w nYou need process m query characterize 3 number l_i r_i k_i 1 le l_i le r_i le n 0 le k_i le 8the answer ith query pair substring length w denote L_1 L_1w1 L_2 L_2w1 L_1 ne L_2 substring different remainder dividing number vL_1 l_1w1 cdot vl_i r_i vL_2 L_2 w 1 9 equal k_i if match substre pair find pair L_1 small possible if match pair case minimize l_2note answer exist,tree
the title reference Educational Round writer team Educational Round 18There bag contain color ball there n different color ball number 1 n there mathitcnt_i ball color bag the total ball bag odd eg mathitcnt_1 mathitcnt_2 dot mathitcnt_n oddIn choose ball different color bagAt point remain ball bag color that s can not moves anymorefind possible color remain ball,array
Mainak positive integer n mMainak find sequence a_1 a_2 ldot a_n n positive integer interesting integer 1 le le n bitwise XOR element strictly a_i 0 formally p_i bitwise XOR element strictly a_i interesting sequence p_1 p_2 ldot p_n 0for example sequence 1323123 4444 25 interesting 1234 p_2 1 ne 0 41124 p_1 1 oplus 1 oplus 2 2 ne 0 293030 p_2 29 ne 0 are not interestinghere oplus b denote bitwise XOR integer bfind interesting sequence a_1 a_2 ldots a_n report exist sequence sum element sequence equal m ie a_1 a_2 ldot a_n mas reminder bitwise XOR sequence consider 0,string
Pak chanek tree call key tree this tree consist n vertex n1 edge the edge tree number 1 n1 edge connect vertex u_i V_i Initially edge key tree weightformally path length k graph sequence v_1 e_1 v_2 e_2 v_3 e_3 ldot v_k e_k v_k1 for v_i vertex e_i edge for e_i connect vertex v_i v_i1 a circuit path start end vertexA path graph say simple path use edge note simple path use vertex oncethe cost simple path weight graph define maximum weight edge traversescount number distinct undirected weighted graph satisfy follow condition the graph N vertex 2n2 edge for pair different vertex x y exist simple circuit go vertex x y graph the weight edge graph integer 1 2n2 inclusive each edge distinct weight the graph form way way assign weight w_i edge key tree satisfie follow condition for pair edge j ij W_iW_j for pair different vertex index x y cost simple path vertex x y key tree equal minimum cost simple circuit go vertex x y graph Note graph allow multiedge allow selfloop print answer modulo 998244353two graph consider distinct exist triple b c exist edge connect vertex b weight c graph,graph
Pak Chanek mirror shape circle there n lamp circumference number 1 n clockwise order the length arc lamp lamp i1 D_i 1 leq leq N1 meanwhile length arc lamp N lamp 1 d_npak Chanek want colour lamp M different colour each lamp colour M colour however different lamp colour lamp triangle consider lamp vertice right triangle triangle angle exactly 90 degreesthe follow example lamp colouring configuration circular mirror figure 1 example incorrect colouring lamp 1 2 3 form right trianglefigure 2 example correct colouringfigure 3 example correct colour before colour lamp Pak Chanek want know number distinct colouring configuration Count number distinct possible lamp colouring configuration modulo 998244353,string
a basketball competition hold number player team maximum minimum limit necessarily 5 player team match there n candidate player competition train Pak chanek good basketball coach earth the ith candidate player power P_iPak Chanek form zero team N candidate player condition candidate player join team each Pak Chaneks team send compete enemy team power D in match team send say defeat enemy team sum power form player strictly great DOne Pak Chaneks skill team form play match change power player team equal big player power teamdetermine maximum number win achieve Pak Chanek,graph
Pak Chanek grid n row M column each row number 1 n each column number 1 M leave righteach tile grid contain number the number arrange follow row 1 contain integer 1 M leave right row 2 contain integer M1 2 time M leave right row 3 contain integer 2 time M1 3 time M leave right and row N a domino define different tile grid touch side a domino say tight number domino difference exactly 1 Count number distinct tight domino gridTwo dominoes say distinct exist tile domino,tree
you n rectangle ith rectangle height h_i width w_iyou ask q query form h_s w_s h_b w_b for query output total area rectangle fit rectangle height h_s width w_s fitting rectangle height h_b width w_b in word print sum h_i cdot w_i h_s h_i h_b w_s w_i w_b please note rectangle height width fit inside also note rotate rectanglesplease note answer test case will not fit 32bit integer type use 64bit integer type programming language like long long c,tree
you give bipartite graph n_1 vertex n_2 vertex second m edge the maximum match graph maximum possible size subset edge graph vertex incident choose edgeyou process type query graph 1 remove minimum possible number vertex graph size maximum matching gets reduce exactly 1 print vertex remove then find maximum match graph print sum index edge belong match 2 query type ask query type 1 as answer query print edge form maximum matching choose previous query note solve problem online mode it mean can not read input you read query write answer query Use function fflush C BufferedWriterflush Java language write program,string
Misha square n times n matrix number row column j equal a_i j Misha want modify matrix contain exactly k distinct integer to achieve goal Misha perform follow operation zero time choose square submatrix matrix choose x_1y_1 x_2y_2 x_1 leq x_2 y_1 leq y_2 x_2 x_1 y_2 y_1 submatrix set cell coordinate x y x_1 leq x leq x_2 y_1 leq y leq y_2 choose integer k 1 leq k leq n2 replace integer submatrix k please find minimum number operation Misha need achieve goal,string
we array pure element pairwise distinct for example array 1 7 9 pure 1 3 3 7 is not 3 occur twice itA pure array b similar pure array c length n pair indice l r 1 le l le r le n true operatornameargmaxb_l b_l 1 ldot b_r operatornameargmaxc_l c_l 1 ldot c_r operatornameargmaxx define index large element x unique pure array for example operatornameargmax3 4 2 2 operatornameargmax1337 179 57 1recently Tonya find Burenka like permutation p length n Tonya decide array similar p he fix element exactly k element miss position temporarily a_i 0 it guarantee k ge 2 also set S k 1 numbersTonya realize miss number fill place decide buy he q option buy Tonya think number d suit possible replace zero number s number d pure array similar p for option d output number suitable,graph
this hard version problem the difference easy hard version constraint a_i n you hack version problem solvedburenka crown princess Buryatia soon nth queen country there ancient tradition Buryatia coronation ruler strength inhabitant to determine strength nth ruler inhabitant country array exactly n number ruler turn element array zero short time the ruler follow twostep operation number time select index l r 1 le l le r le n nonnegative integer x l leq leq r assign a_i a_i oplus x oplus denote bitwise XOR operation it take leftlceil fracrl12 rightrceil seconds operation lceil y rceil denote y round near integer help Burenka calculate time need,string
oh exam Madoka get hard problemgiven integer n m pair integer v_i u_i also array b_1 b_2 ldots b_n initially fill zerosThen index 1 leq leq m perform b_v_i b_v_i 1 b_u_i b_u_i 1 b_v_i b_v_i 1 b_u_i b_u_i 1 note exactly operation perform iAlso array s length n consist 0 1 and array a_1 a_2 ldot a_n guarantee s_i 0 hold a_i 0help Madoka determine possible perform operation way s_i 1 hold a_i b_i if possible provide Madoka way perform operation,string
there n bag bag contain m ball number 1 m for 1 m exactly ball number bagyou exactly ball bag bag different example take ball 1 bag ball 2 second bag take ball 2 bag ball 1 second bag after calculate number ball odd number one take let number ball FYour task calculate sum Fk possible way n ball bag,graph
Stanley Megan decide shop crossmarket grocery store represent matrix n row m column Stanley Megan adjacent cell 1 unit power two cell consider adjacent share edge to speed shopping process Megan bring portal leave cell visit portal if person Stanley Megan cell portal person use 1 unit power teleport cell portal include Megans start cellThey decide split Stanley upperleft cell cell coordinate 1 1 lowerright cell cell coordinate n m whilst Megan need lowerleft cell cell coordinate n 1 upperright cell cell coordinate 1 mWhat minimum total energy need thatnote choose time Time affect energy,graph
find minimum number give sum digit s digits distinct ie digit uniquefor example s20 answer 389 this minimum number digit different sum digit 20 38920for give s print require number,tree
Polycarp present sequence integer length n 1 le a_i le n a sequence Polycarp happy consist different number ie distinct numbersin order sequence like Polycarp go possibly zero number movesIn remove leftmost element sequence for example sequence 3 1 4 3 produce sequence 1 4 3 consist different numbersDetermine minimum number move need remain sequence element different in word find length small prefix give sequence remove value sequence unique,graph
god Blessing this permutationforcesa Random PebbleYou give permutation p_1p_2ldotsp_n length n positive integer k le n in operation choose index j 1 le j le n swap p_i p_jfind minimum number operation need sum p_1 p_2 ldot p_k small possibleA permutation array consist n distinct integer 1 n arbitrary order for example 23154 permutation 122 permutation 2 appear twice array 134 permutation n3 4 array,tree
you beta test new secret Terraria update this update add quest gamesimply world map represent array length n ith column world height a_iThere m quest test the jth represent integer s_j t_j in quest column s_j column t_j at start quest appear column s_jIn column x column x1 column x1 in version Spectre Boots allow fly since beta version bug allow fly go infinite fly duration when move column height p column height q fall damage if height p great height q p q fall damage fly 0 damagefor give quest determine minimum fall damage quest,array
you give connect undirected graph consist n vertex m edge the weight ith edge iHere wrong algorithm find minimum span tree mst graphvis array length n set edgesfunction dfsu visu true iterate edge u v order small large edge weight visv false add edge u v set s dfsvfunction findmstu reset element vis false reset edge set s dfsu return edge set sEach call findmst1 findmst2 findmstn gives span tree graph Determine tree minimum span tree,string
Qpwoeirut take architecture ambitiously decide remodel cityqpwoeirut city describe row n building ith 1 le le n h_i floor high you assume height floor problem equal therefore building tall build j number floor h_i build large number floor h_j building jbuilde cool tall building i1 building i1 exist Note 1st nth building coolTo remodel city Qpwoeirut need maximize number cool building to Qpwoeirut build additional floor building tall Note remove exist floorssince build new floor expensive Qpwoeirut want minimize number floor builds find minimum number floor Qpwoeirut need build order maximize number cool building,graph
one night Mark realize essay tomorrow he have not write Mark decide randomly copypaste substring prompt essaymore formally prompt string s initial length n Mark perform copypaste operation c time each operation describe integer l r mean Mark append letter s_l s_l1 ldot s_r end string s note length s increase operationOf course Mark need able write after copy Mark ask q query give integer k determine kth letter final string s,string
Mark cleaning row n room the ith room nonnegative dust level a_i he magical cleaning machine follow threestep operation Select indice ij dust level a_i a_i1 dot a_j1 strictly great 0 set a_i a_i1 Set a_j a_j1 Marks goal a_1 a_2 ldot a_n1 0 nicely sweep nth room determine minimum number operation need reach goal,graph
Mark ask group photo 2n people the ith person height h_i unitsTo order people row row row consist n people however ensure see properly jth person row x unit tall jth person row j 1 n inclusiveHelp Mark determine possible,tree
Mio array consist n integer array b consist m integer Mio follow operation Choose integer 1 leq leq n choose add 1 a_i subtract 2 a_i1 add 3 a_i2 Formally operation add 1ji cdot ji1 a_j leq j leq nMio want transform contain b subarray could answer question provide sequence operation possiblean array b subarray array b obtain deletion possibly zero element begin possibly zero element end,tree
Luke like eat there n pile food align straight line the ith pile contain a_i unit food Luke walk 1st pile nth pile want eat pile food walk when Luke reach ith pile eat pile v a_i leq x x fix integer v luke food affinityBefore Luke start walk set v integer also 1 leq leq n Luke change food affinity integer eat ith pilefind minimum number change need eat pile foodnote initial choice v consider change,string
Luca cypher sequence n wheel digit a_i write on ith wheel b_i move each type denote textttU increase ith digit 1 after apply 9 0 denote textttD decrease ith digit 1 after apply 0 9 Example n4 the current sequence 0 0 0 0 Luca know final sequence wheel move wheel Help find original sequence crack cypher,string
a triple point j k coordinate line call beautiful j k k le dYou give set point coordinate line initially you process query type add point remove point calculate number beautiful triple consist point belong set,graph
there n worker m task the worker number 1 n each task value a_i index worker proficient taskevery task worker assign if worker proficient task complete 1 hour otherwise take 2 hoursthe worker work parallel independently each worker work task onceassign worker task way task complete early possible the work start time 0 what s minimum time task complete,string
there field size 2 time 2 each cell field contain grass the value a_i j 1 cell j contain grass 0 otherwiseIn choose row column cut grass row column in word choose row x column y cut grass cell a_x cell a_i y 1 2 after cut grass cell ie value replace 0your task find minimum number move require cut grass nonempty cell field ie a_i j zerosYou answer t independent test case,string
you give table size n time m we consider table row number 1 n column number leave right 1 m we denote cell ith row jth column j in cell j write number 1 cdot m j a_ij 1 cdot m jA turtle initially stand cell 1 1 wants come cell n m from cell j step cell 1 j j 1 exist a path sequence cell adjacent sequence cell follow satisfie turtle reach cell second cell step a cost path sum number write cell path for example n 2 m 3 table look show the turtle follow path 1 1 rightarrow 1 2 rightarrow 1 3 rightarrow 2 3 the cost way equal a_11 a_12 a_13 a_23 12 on hand path 1 1 rightarrow 1 2 rightarrow 2 2 rightarrow 2 1 1 1 rightarrow 1 3 incorrect path turtle can not step 2 2 rightarrow 2 1 second path can not step 1 1 rightarrow 1 3you ask tell turtle minimal possible cost path cell 1 1 cell n m please note cell 1 1 n m way,graph
there n pile sand ith pile a_i block sand the ith pile call tall 1 n a_i a_i1 a_i1 that pile tall sand neighbour combine note pile end array tallYou give integer k an operation consist pick k consecutive pile sand add unit sand Formally pick 1 leq lr leq n rl1k then l leq leq r update a_i get a_i1what maximum number pile simultaneously tall possibly zero operation,graph
you give string s t length n each character string b cIn perform follow action choose occurrence ab s replace ba choose occurrence bc s replace cb you allow perform arbitrary move possibly zero can change string s equal string t,tree
the store sell n item price ith item p_i the store management go hold promotion customer purchase x item y cheap freethe management decide exact value x y therefore ask process q query give value x y determine maximum total value item receive free customer make purchasenote query independent do not affect store stock,graph
Mike Joe play game stone specifically n pile stone size a_1 a_2 ldot a_n these pile arrange circlethe game go follow Players turn remove positive number stone pile clockwise order start pile 1 Formally player remove stone pile turn player remove stone pile ibmod n 1 turnif player remove stone turn pile lose Mike go firstIf Mike Joe play optimally win,tree
give array positive integer length n determine exist distinct index j k a_i a_j a_k end digit 3,array
you give n color segment number line each segment color red blue the ith segment represent tuple c_i l_i r_i the segment contain point range l_i r_i inclusive color denote c_i c_i 0 red segment c_i 1 blue segment we segment different color connect share common point two segment belong group connect directly sequence directly connect segment find number group segment,string
Polycarp find stre s permutation p their length turn equal na permutation n element array length n integer 1 n occur exactly for example 1 2 3 4 3 5 1 2 permutation 1 2 4 4 3 2 1 2 0 1 2 notin operation multiply s p replace s stre new 1 n true new_i s_p_i for example swmbe p 3 1 4 2 operation string turn ss_3 s_1 s_4 s_2bwempolycarp wonder operation string equal initial value time since long ask help matterit prove require number operation exist it large use 64bit integer type,graph
Bit Lightyear andfinity beyondafter graduate computer science Vlad award array a_1a_2ldotsa_n n nonnegative integer as natural want construct graph consist n vertex number 1 2ldots n he decide add edge j a_i a_j 0 denote bitwise and operationvlad want graph connect case initially in order satisfy follow type operation array choose element a_i increment 1 Choose element a_i decrement 1 possible a_i 0 it prove exist finite sequence operation graph connect so help Vlad find minimum possible number operation provide way,string
lena beautiful girl like logical puzzlesas gift birthday Lena get matrix puzzlethe matrix consist n row m column cell black white the coordinate ij denote cell belong ith row jth column 1leq leq n 1leq j leq m to solve puzzle Lena choose cell minimize Manhattan distance farth black cell choose cellmore formally let k ge 1 black cell matrix coordinate x_iy_i 1leq leq k Lena choose cell ab minimize max_i1kax_iby_iAs Lena skill ask help will tell optimal cell choose,graph
byteland beautiful land know beautiful treesmisha find binary tree n vertex number 1 n a binary tree acyclic connect bidirectional graph contain n vertex n 1 edge each vertex degree 3 root vertex number 1 degree 2unfortunately root get infectedthe following process happen n time Misha choose noninfecte delete vertex delete edge end vertex then infection spread vertex connect edge infect vertex infect vertex remain infected as Misha time think tell maximum number vertex save infection note delete vertex count save,tree
as human erase history entirety as Bai Ze Hakutaku create history nothingnessPerfect Memento Strict SenseKeine ability manipulate history the history Gensokyo string s length 1 initially to fix chaos cause Yukari need follow operation n time ith time she choose nonempty substring t_2i1 s she replace t_2i1 nonempty string t_2i note length string t_2i1 t_2i differentnote t_2i1 occur s exactly replacedfor example let smarisa t_2i1a t_2iz after operation s mzrisa mariszAfter n operation Keine get final string operation sequence t length 2n just Keine think finished Yukari appear shuffle order t bad Keine forget initial history help Keine find initial history GensokyoRecall substre sequence consecutive character stre for example stre abc substrings ab c bc but follow string substre ac cba acbHacksYou hack problem,tree
ran especially skilled computation mathematic it say unimaginable calculation work instantperfect Memento Strict SenseRan yakumo cute girl love create cute math problemslet fx minimal square number strictly great x gx maximal square number equal x for example f1f2g4g84A positive integer x cute xgxfxx for example 1511 cute integer 3815 Ran give array length n she wants find small nonnegative integer k a_i k cute number element,string
it turn exactly 100th problem appear programming competition so special and special problem LISYou give permutation p_1 p_2 ldot p_2n1 integer 1 2n1 you process q update ith update consist swap p_u_i p_v_iafter update find cyclic shift p LIS le n determine shift Refer output section detailshere LISa denote length long strictly increase subsequence ahack disabled problem do not ask,string
you give grid n row m column cell positive integer write Lets grid good row sequence number sort nondecrease order it mean 1 le le n 2 le j le m follow hold a_ij ge a_i j1You follow operation exactly choose column index j necessarily different 1 le j le m swap themyou ask determine possible grid good swap find column need swap,graph
you give integer array b b_i neq 0 b_i leq 109 Array sort nondecrease orderthe cost subarray alr define followsIf sumlimits_j lr b_j neq 0 cost definedotherwise Construct bipartite flow graph rl1 vertex label l r vertex have b_i lt 0 left b_i gt 0 right for j l le j le r b_i0 b_j0 draw edge j infinite capacity cost unit flow a_ia_j add vertex source s sink t for l le le r b_i0 add edge S cost 0 capacity b_i for l le le r b_i0 add edge T cost 0 capacity b_i the cost subarray define minimum cost maximum flow S TYou give q query form integer l r you compute cost subarray alr query modulo 109 7If do not know minimum cost maximum flow mean read,string
there n node arrange circle number 1 n clockwise order you give binary string s length nYour task construct tree give n node satisfy condition report tree exist for node 1 le le n degree node s_i 0 odd s_i 1 no edge tree intersect internally circle the edge allow intersect circumference note edge draw straight line segment for example edge u v tree draw line segment connect u v circleA tree n node connect graph n 1 edge,string
you give integer number n x you perform operation integer xEach operation perform following choose digit y occur decimal representation x replace x x cdot yYou want length decimal representation x lead zero equal n what minimum number operation require,graph
today holiday residence hall Oleh arrive honor girl give stre Oleh like gift lot immediately think offer good friend follow problemyou give stre s length n consist 17 lowercase Latin letter b c ldot p q question mark and q query each query define set pairwise distinct lowercase 17 letter latin alphabet replace question mark stre sThe answer query sum number distinct substring palindrome string obtain original string s replace question mark available character the answer calculate modulo 998244353pay attention two substring different start end position stre different so number different substring palindrome string aba 4 b abaconsider example replace question mark letter for example string abaee query b string ababaee abaaaee strings pizza abaee abacaba abafee aba47ee abatreerecall palindrome string read leave right right leave,graph
this hard version problem the difference version hard version ask additionally minimum number subsegmentstokitsukaze binary string s length n consist zero one n evenNow Tokitsukaze divide s minimum number contiguous subsegment subsegment bit subsegment after s consider good length subsegment evenfor example s 11001111 divide 11 00 1111 their length 2 2 4 respectively number 11001111 good another example s 1110011000 divide 111 00 11 000 length 3 2 2 3 obviously 1110011000 goodtokitsukaze want s good change value position s specifically perform operation number time change value s_i 0 1 1 leq leq n can tell minimum number operation s good meanwhile wants know minimum number subsegment s divide solution minimum number operation,tree
this easy version problem the difference version hard version ask additionally minimum number subsegmentstokitsukaze binary string s length n consist zero one n evenNow Tokitsukaze divide s minimum number contiguous subsegment subsegment bit subsegment after s consider good length subsegment evenfor example s 11001111 divide 11 00 1111 their length 2 2 4 respectively number 11001111 good another example s 1110011000 divide 111 00 11 000 length 3 2 2 3 obviously 1110011000 goodtokitsukaze want s good change value position s specifically perform operation number time change value s_i 0 11 leq leq n can tell minimum number operation s good,graph
you give n word equal length m consist lowercase latin alphabet letter the ith word denote s_iIn choose position single word change letter position previous letter alphabetical order for example change e d f change b z change y the difference word minimum number move require equal for example difference well cost 1 10 0 0 11find minimum difference s_i s_j j in word find minimum difference possible pair n word,tree
monocarp play Rage Empires II Definitive Edition strategic computer game right he s planning attack opponent game Monocarps force enter opponent territory opponent build wallthe wall consist n section align row the ith section initially durability a_i if durability section 0 section consider brokenTo attack opponent Monocarp need break section wall section possibly adjacent possibly to plan use onag special siege weapon the onag shoot section wall shoot deal 2 damage target section 1 damage adjacent section in word onager shoot section x durability section x decrease 2 durability section x 1 x 1 exist decrease 1 Monocarp shoot section number times shoot break sectionsmonocarp wants calculate minimum number onager shot need break section help,array
