stop_words_removed_qns,tag1
you give n segment coordinate axis the ith segment l_i r_i let denote set integer point belong ith segment s_ilet a cup b union set a B a cap b intersection set a B a oplus b symmetric difference A b set contain element a element b one belong setsLet mathbinop_1 mathbinop_2 dot mathbinop_n1 array element cup oplus cap over 3n1 way choose array calculate sum follow valuess_1 mathbinop_1 S_2 mathbinop_2 S_3 mathbinop_3 S_4 dot mathbinop_n1 s_nin expression S denote size set S,dynamic programming
monocarp playing video game in game control spaceship destroy enemy spaceshipMonocarp laser instal spaceship both laser 1 2 value p_i power laser t_i reload time laser when laser fully charge Monocarp shoot wait laser charge shoot timeAn enemy spaceship h durability s shield capacity when Monocarp shoot enemy spaceship receive p s damage ie p s get subtract durability p total power laser Monocarp shoot ie p_i shoot laser p_1 p_2 shoot laser time an enemy spaceship consider destroy durability 0 lowerinitially laser zero chargedwhat low time Monocarp destroy enemy spaceship,dynamic programming
you give integer n you construct permutation size nA permutation array integer 1 s s size permutation occur exactly for example 2 1 4 3 permutation size 4 1 2 4 5 3 permutation size 5 1 4 3 permutation integer 2 absent 2 1 3 1 permutation integer 1 appear twiceA subsegment permutation contiguous subsequence permutation for example permutation 2 1 4 3 10 subsegment 2 2 1 2 1 4 2 1 4 3 1 1 4 1 4 3 4 4 3 3the value permutation number subsegment permutation for example value 2 1 4 3 3 subsegment 2 1 1 2 1 4 3 permutationsyou construct permutation size n minimum possible value permutation size n,greedy
monocarp forget password mobile phone the password consist 4 digit 0 9 note start digit 0monocarp remember password exactly different digit digit appear exactly time password Monocarp remember digit definitely passwordYou calculate number different sequence 4 digit password Monocarps mobile phone ie sequence meet constraint Monocarps password,brute force
Alperen strings s t initially equal he perform q operation type give string 1 k x Append string x exactly k times end string s in word s s underbracex dot x_k text times 2 k x Append string x exactly k times end string t in word t t underbracex dot x_k text time after operation determine possible rearrange character s t s lexicographically smallerdagger tNote string change perform operation do not initial statesdagger simply speak lexicographical order order word list dictionary a formal definition follow stre p lexicographically small string q exist position p_i q_i j p_j q_j if exist p lexicographically small q length p length q for example textttabdc textttabe textttabc textttabcd write p q p lexicographically small q,greedy
Timur stairway n step the ith step a_i meter high predecessor the step a_1 meter high ground ground start 0 meter the stair test case Timur q question denote integer k_1 dot k_q for question k_i print maximum possible height Timur achieve climbing step leg length k_i Timur climb jth step leg length a_j in word k_i geq a_j step j climbednote answer question independently,greedy
you give array n positive integer determine rearrange element array strictly increase in word determine possible rearrange element a_1 a_2 dot a_n hold,greedy
the sequence send network follow sequence split segment element sequence belong exactly segment segment group consecutive element sequence segment length write leave right result sequence b send network for example need send sequence 1 2 3 1 2 3 suppose split segment follow colorred1 colorblue2 3 1 colorgreen2 3 then follow sequence b 1 colorred1 3 colorblue2 3 1 colorgreen2 3 2 b colorred1 1 3 colorblue2 3 1 2 colorgreen2 3 b colorred1 1 colorblue2 3 1 3 2 colorgreen2 3 b colorred1 1colorblue2 3 1 3 colorgreen2 3 2 if different segmentation send sequence differentThe sequence b give could sequence b send network in word sequence converting send network result sequence b,dynamic programming
in world Compfestnesia Pak Chanek discover secret underground dungeon inside treasure chest surround n statue arrange circular manner the statue number 0 n1 statue leave statue i1 statue n1 leave statue 0pak Chanek observe statue hold crystal ball integer 0 m1 inclusive Lets integer crystal ball statue a_ithe dungeon provide instruction integer crystal ball 0 order open treasure chest to achieve Pak Chanek give integer k zero operation in single operation Pak Chanek following choose exactly k consecutive statue in word choose statue p p1 bmod n p2 bmod n p3 bmod n ldot pk1 bmod n choose index p Do follow for choose statue change value a_i a_i1 bmod m for choose statue change value a_i a_i1 bmod m help Pak Chanek find minimum possible number operation open treasure chest,dynamic programming
Pak Chanek give array n integer for 1 leq leq n Pak Chanek write oneelement set a_i whiteboardafter operation Pak Chanek following choose different set S T whiteboard S cap T varnothe S T common element Erase S T whiteboard write S cup t union S T whiteboard after perform zero operation Pak Chanek construct multiset M contain size set write whiteboard in word element M correspond size set operationshow distinctdagger multiset M create process since answer large output modulo 998244353dagger Multisets B c different exist value k number element value k b different number element value k c,dynamic programming
there n brick number 1 n brick weight a_ipak chanek 3 bag number 1 3 initially for brick Pak Chanek bag after bag contain brickafter Pak Chanek distribute brick Bu Dengklek exactly brick bag let w_j weight brick Bu Dengklek take bag j the score calculate w_1 w_2 w_2 w_3 x denote absolute value xIt know Bu Dengklek brick way minimise score what maximum possible final score Pak Chanek distribute brick optimally,greedy
Pak Chanek n twodimensional slice cheese the ith slice cheese represent rectangle dimension a_i time b_i we want arrange twodimensional plane each edge cheese parallel xaxis yaxis the edge cheese segment xaxis no slice cheese overlap side touch they form connect shape Note arrange order leftmost slice cheese necessarily slice cheese also note rotate slice cheese way long condition holdfind minimum possible perimeter construct shape,greedy
Monocarp dictionary n word consist 12 letter latin alphabet the word number 1 n in pair adjacent character word character different for word Monocarp integer c_i denote use wordmonocarp want design keyboard allow type word easily a keyboard denote sequence 12 letter latin alphabet letter l appear exactly oncea word type keyboard easily pair adjacent character word character adjacent keyboard the optimality keyboard sum c_i word type easily ithelp Monocarp design keyboard maximum possible optimality,dynamic programming
consider hallway represent matrix 2 row n column Lets denote cell intersection ith row jth column j the distance cell i_1 j_1 i_2 j_2 i_1 i_2 j_1 j_2There clean robot cell 1 1 some cell hallway clean cell dirty cell robot clean you want clean hallway go launch robot thisafter robot launch work follow while cell dirty robot choose close current cell cell dirty move clean cell long dirty after clean cell robot find close dirty cell current cell this process repeat hallway cleanHowever critical bug robot program if moment multiple close robot current position dirty cell robot malfunctionsyou want clean hallway way robot do not malfunction before launch robot clean possibly zero dirty cell however do not want dirty work nice smart buggy robot Note clean cell dirtycalculate maximum possible number cell leave dirty launch robot do not malfunction,dynamic programming
you give rooted tree consist n vertex the vertex number 1 n root vertex 1you perform follow operation k time choose edge v u tree v parent u remove edge v u add edge 1 u ie u subtree child root the height tree maximum depth vertex depth vertex number edge path root for example depth vertex 1 0 root depth child 1what smallest height tree achieve,greedy
consider game n card n each card number write 1 n all number card different we card number x strong card number y x yTwo player Alex Boris play game in beginning receive exactly fracn2 card card belong exactly player then turn Alex go Boris Alex onon player turn play exactly card then opponent do not card strong card play opponent lose game end otherwise opponent play strong card exactly card these card remove game turn end if card leave game end draw opponent turnconsider possible way distribute card player receive exactly half card you calculate number number way distribute card Alex win number way distribute card Boris win number way distribute card game end draw you assume player play optimally ie player win matter opponent play win two way distribute card different card way give Alex way give BorisFor example suppose n 4 Alex receive card 2 3 Boris receive card 1 4 then game follow Alex play card 2 Boris respond card 4 then Alexs turn end Boris turn start Boris card leave 1 play Alex respond card 3 so game ends draw Alex play card 3 Boris respond card 4 then Alexs turn end Boris turn start Boris card leave 1 play Alex respond card 2 so game end draw so case game end draw,dynamic programming
for array nonnegative integer size n construct array d follow d_1 a_1 d_i a_i a_i 1 2 le le nYour task restore array give array d report multiple possible array,greedy
this interactive problemgiven simple undirected graph n vertex number 1 n task color vertex color c follow condition hold the set vertex color c connect s_c leq n_c2 n_c number vertice color c s_c sum degree vertice color c it show exist way color vertex condition hold initially give number n vertex degree vertex in query choose vertex u as response give kth edge incident u kth query vertex u you allow n queriesAn undirected graph simple contain multiple edge selfloopsthe degree vertex number edge incident a set S vertex connect different vertex u v S path pass vertex S connect u v that sequence edge u_1 v_1 u_2 v_2 dot u_k v_k k geq 1 u_1 u v_k v v_i u_i1 1 leq k u_k S v_k s 1 leq leq k especially set contain vertex connect,greedy
give integer sequence a_1 a_2 dots a_n length n task compute number modulo 998244353 way partition nonempty continuous subsequence sum element subsequence form balanced sequenceA sequence s_1 s_2 dot s_k length k say balanced s_i s_ki1 1 leq leq k for example 1 2 3 2 1 1331 balanced 1515 Formally partition describe sequence index i_1 i_2 dot i_k length k 1 i_1 i_2 dot i_k leq n k number nonempty continuous subsequence partition for 1 leq j leq k jth continuous subsequence start a_i_j end exactly a_i_j1 i_k1 n 1 that jth subsequence a_i_j a_i_j1 dot a_i_j11 there 2n1 different partition total let s_1 s_2 dot s_k denote sum element subsequence respect partition i_1 i_2 dot i_k formally 1 leq j leq k s_j sum_ii_ji_j11 a_i a_i_j a_i_j1 dot a_i_j11 for example partition 123456 sequence 123456 describe sequence 124 index sum element subsequence respect partition 1515two partition i_1 i_2 dot i_k i_1 i_2 dot i_k describe sequence index consider different following hold k neq k i_j neq i_j 1 leq j leq minleft k k right,dynamic programming
suppose a_1 a_2 dot a_n sort integer sequence length n a_1 leq a_2 leq dots leq a_n for 1 leq leq n prefix sum s_i term a_1 a_2 dot a_i define s_i sum_k1i a_k a_1 a_2 dot a_i now give k term prefix sum s_nk1 dot s_n1 s_n your task determine possible formally give k integer s_nk1 dots s_n1 s_n task check sequence a_1 a_2 dot a_n a_1 leq a_2 leq dots leq a_n s_i a_1 a_2 dot a_i nk1 leq leq n,greedy
the hero addicted glory fighting monster the hero n skill the ith skill type a_i fire frost initial damage b_i the hero perform n skill order skill perform exactly when perform skill hero play magic follow if current skill immediately follow skill different type damage double in word if skill type fire initial damage c perform immediately skill type fire deal c damage if skill type fire initial damage c perform immediately skill type frost deal 2c damage if skill type frost initial damage c perform immediately skill type fire deal 2c damage if skill type frost initial damage c perform immediately skill type frost deal c damage your task find maximum damage hero deal,greedy
Ela like hike lot she love nature explore creature offer one day see strange type ant cannibalistic feature more specifically ant eat ant see small itcurious feature new creature Ela ai not furious she conduct long nondubious sentimental experimentshe put n cannibalistic ant line long wooden stick Initially ant weight 1 the distance consecutive ant the distance ant line leave end ant line right end distance ant each ant start move leftend rightend randomly equiprobably constant pace experiment two ant crash stand line move opposite direction ant change direction immediately reach end stick Ela can not determine move direction ant understand behavior crash happen if crash happen ant different weight heavy eat light gain weight light after heavy continue walk direction in word heavy weight x walk right light weight y walking leave x y crash light diminish heavy weight x y continue walk right if crash happen ant weight walk left end stick eat walk right continue walk direction in word ant weight x walk leave crash ant weight x walk right walk right disappear walk left weight 2x continue walking leave please check example note section demonstrate ant behavior aboveWe prove definite time ant standing Initially ant randomly equiprobably leave right generate 2n different case initial movement pack for position line calculate probability ant begin position survive Output modulo 109 7formally let M 109 7 it show answer express irreducible fraction fracpq p q integer q equiv 0 pmodM output integer equal p cdot q1 bmod M in word output integer x 0 le x M x cdot q equiv p pmodM,dynamic programming
Ela love read lot like new coworker DTL on day engineer DTL challenge coworker sort heap book different compartment shelfn book split k compartment bookshelf n divisible k each book represent lowercase Latin letter y inclusively begin letter title bookela stack exactly fracnk book compartment after book stack compartment index 1 k take minimum exclude MEX letter multiset letter form letter represent book compartment combine result letter stre the letter result stre MEX letter multiset letter form compartment second letter result stre MEX letter multiset letter form second compartment please note constraint problem MEX letter determine multiset find problem z usedwhat lexicographically great result string possible Ela createA string lexicographically great string b follow hold b prefix b ne position b differ string letter appear later alphabet corresponding letter b the minimum exclude MEX letter multiset letter letter appear early alphabet contain multiset for example multiset letter contain 7 letter b b c e c f respectively MEX letter compartment d d include multiset letter come d alphabet b c include multiset,greedy
everool binary string s length 2n note binary string string consist character 0 1 he want partition s disjoint equal subsequence he need help itYou allow follow operation exactly you choose subsequence possibly s rotate right position in word select sequence index b_1 b_2 ldot b_m 1 le b_1 b_2 ldot b_m le 2n after simultaneously set s_b_1 s_b_m s_b_2 s_b_1 ldot s_b_m s_b_m1Can partition s disjoint equal subsequence perform allow operation exactly oncea partition s disjoint equal subsequence sp sq increase array indice p_1 p_2 ldot p_n q_1 q_2 ldot q_n integer 1 2n encounter p q exactly sp s_p_1 s_p_2 ldot s_p_n sq s_q_1 s_q_2 ldot s_q_n sp sqIf possible partition perform kind operation report 1 if possible operation partition s disjoint subsequence sp sq sp sq print element b index sp ie value p_1 p_2 ldot p_n,greedy
this hard version problem in version query note multiple test case version you hack version problem solvedan array b length m good ith element greater equal in word b good b_i geq 1 leq leq mYou give array consist n positive integer ask q query in query give integer p x 1 leq px leq n you a_p x assign x a_p in update array find number pair index l r 1 le l le r le n array a_l a_l1 ldot a_r goodnote query independent mean query initial array restore,dynamic programming
there n house city arrange axis point h_1 h_2 ldot h_n you want build new house consider option place point p_1 p_2a like visit friend calculate advance distance option exist house more formally calculate array d_1 d_2 d_i j leftp_i h_jright x define absolute value xAfter long time inactivity forget location house h option p_1 p_2 but diary keep arrays d_1 d_2 authenticity doubt also value inside array shuffle value position d_1 d_2 correspond different house pay attention value array word value array d_1 correspond distance p_1 house array d_2 p_2 housesalso pay attention location house h_i consider option p_j match for example location correct h 1 0 3 3 p 1 1 correspond shuffle d_1 0 2 1 2 d_2 2 2 1 0check location house h consider point p_1 p_2 found array distance correct if possible find appropriate location house consider option,greedy
you like card board game Set each card contain k feature equal value set 0 1 2 the deck contain possible variant card 3k different card totala feature card call good card pairwise distinct three card call set k feature good themfor example card 0 0 0 0 2 1 0 1 2 form set card 0 2 2 2 1 2 1 2 0 example feature goodA group card call metaset strictly set how metaset give n distinct card,brute force
there stre s suppose encrypt for reason 26 lowercase English letter arrange circle order letter s replace follow clockwise order way string t obtain you give string t Determine lexicographically small string s prototype give stre ta string lexicographically small string b length position b differ string letter appear early alphabet corresponding letter b,greedy
there n piece tangerine peel ith size a_i in step possible divide piece size x piece positive integer size y z y z xYou want pair piece size differ strictly twice in word piece size x y 2x le y what minimum possible number step need satisfy condition,greedy
your working week consists n day number 1 n day n go day 1 and 3 day one day day day n you decide arechoosing day pursue goal no day note can not day 1 day follow day n Working segment frame day dissimilar possible duration more specifically segment size l_1 l_2 l_3 day long want maximize minl_1 l_2 l_2 l_3 l_3 l_1 output maximum value minl_1 l_2 l_2 l_3 l_3 l_1 obtain,greedy
let S ThueMorse sequence in word S 0indexed binary string infinite length construct follow Initially let S 0 then perform follow operation infinitely times concatenate S copy flip bitsFor example iteration IterationS iteration iteration flip bitsconcatenated s1010120110011030110100101101001401101001100101100110100110010110ldotsldotsldotsldot you give positive integer n m find number position string s_0 s_1 ldot S_m1 s_n S_n 1 ldot s_n m 1 different,dynamic programming
you play game call Slime Escape the game take place number line initially n slime for positive integer 1 le le n ith slime locate position health a_i you control slime position k there escape located position 0 n1 your goal reach escape perform number game movesIn game slime leave right position however slime new position absorb when absorb slime health slime increase health absorb slime absorb slime remove gamenote slime negative health health decrease absorb slime you lose game immediately slime negative health moment gameCan reach escape perform number game move lose game,greedy
you give set S contain n positive integer 1 2 ldot nYou perform follow operation s number time possibly zero choose positive integer k 1 le k le n exist multiple k S then delete small multiple k S this operation require cost k you give set t subset S find minimum possible total cost operation S transform T we transformation possible,greedy
there pyramid consist n floor the floor number increase order in pyramid ith floor consist roomsDenote jth room ith floor ij for positive integer j 1 le j le n 2 oneway staircase lead ij i1j ij i1j1 respectivelyIn room torch leave Define brightness room j number room torch reach room j nonnegative number staircasesfor example n5 torch place room 11 21 32 41 43 53 pyramid illustrate follow in picture room torch color yellow room white the blue number bottomright corner indicate brightness roomsthe room 42 room star brightness 3 in picture room reach 42 red border the brightness 3 torch room the pyramid call nice floor room floor brightnessDefine brilliance nice pyramid sum brightness room 11 21 31 n1find arrangement torch pyramid result pyramid nice brilliance maximizedwe answer exist if multiple answer output,brute force
this hard version problem in version n le 5000 hold version restriction x y you hack version problem solvedyou give binary string b length n you follow operation number time possibly zero Select indice l r l r Change a_l 1 a_l a_r 1 a_r if l 1 r cost operation x otherwise cost y you find minimum cost need equal b way,dynamic programming
this hard version problem the difference version remove queriesinitially set contain element 0 you need handle q query follow type x add integer x set it guarantee integer contain set x remove integer x set it guarantee integer contain set k find ktextmex set in problem define ktextmex set integer smallest nonnegative integer x divisible k contain set,dynamic programming
this easy version problem the difference version remove queriesinitially set contain element 0 you need handle q query follow type x add integer x set it guarantee integer contain set k find ktextmex set in problem define ktextmex set integer smallest nonnegative integer x divisible k contain set,greedy
this hard version problem the difference version q nyou give array integer a_1 a_2 ldot a_nThe cost subsegment array l r 1 leq l leq r leq n value fl r operatornamesuml r operatornamexorl r operatornamesuml r a_l a_l1 ldot a_r operatornamexorl r a_l oplus a_l1 oplus ldot oplus a_r oplus stand bitwise XORYou q query each query give pair number L_i R_i 1 leq L_i leq R_i leq n you need find subsegment l r L_i leq l leq r leq R_i maximum value fl r if answer need find subsegment minimum length minimum value r l 1,greedy
this easy version problem the difference version q 1you give array integer a_1 a_2 ldot a_nThe cost subsegment array l r 1 leq l leq r leq n value fl r operatornamesuml r operatornamexorl r operatornamesuml r a_l a_l1 ldot a_r operatornamexorl r a_l oplus a_l1 oplus ldot oplus a_r oplus stand bitwise XORYou q 1 query each query give pair number L_i R_i 1 leq L_i leq R_i leq n you need find subsegment l r L_i leq l leq r leq R_i maximum value fl r if answer need find subsegment minimum length minimum value r l 1,greedy
a binary string string consist character 0 1 you give binary string s_1 s_2 ldot s_n it necessary string nondecrease number operation in word character previous in operation follow Select arbitrary index 1 leq leq n string for j geq change value jth position opposite s_j 1 s_j 0 vice versawhat minimum number operation need string nondecrease,dynamic programming
you string s_1 s_2 length n consist lowercase english letter you perform follow operation possibly zero number time choose positive integer 1 leq k leq n Swap prefix string s_1 suffix string s_2 length k Is possible string equal describe operation,greedy
you string s consist digit 0 9 inclusive you perform follow operation possibly zero number time you choose position delete digit d ith position then insert digit mind 1 9 position begin end adjacent digit what lexicographically small string perform operationsa string lexicographically small string b length following hold position b differ string small digit corresponding digit b,dynamic programming
one day Vogons want build new hyperspace highway distant system n planet the ith planet orbit a_i multiple planet orbit its pity planet way need destructedvogon machine the machine operation destroy planet cost 1 Triganic Pu the second machine operation destroy planet single orbit system cost c Triganic Pus Vogons use machine time wantvogon greedy want destroy planet minimum money spend can help know minimum cost project,dynamic programming
this interactive problemI want play game youwe hide cyclic graph n vertex 3 le n le 1018 a cyclic graph undirected graph n vertex form cycle each vertex belong cycle ie length cycle number edge exactly n the order vertex cycle arbitraryyou query follow way b 1 le b le 1018 neq b in response query interactor output separate line length random path vertex vertex b 1 maxa b n the interactor choose path equal probability the length pathis number edge ityou win guess number vertex hide graph number n make 50 queriesnote interactor implement way order pair b return value query b matter query note b query answer differently interactorThe vertex graph randomly place position fix advancehack forbid problem the number test jury 50,greedy
a group n friend decide restaurant each friend plan order meal x_i burle total y_i burle 1 le le n the friend decide split visit restaurant day each day group friend go restaurant each friend visit restaurant group intersect these group satisfy condition total budget group burle friend group go spend restaurant in word sum x_i value group exceed sum y_i value groupwhat maximum number day friend visit restaurantfor example let n 6 friend x 8 3 9 2 4 5 y 5 3 1 4 5 10 then sixth friend restaurant day they spend 8513 burle restaurant total budget 51015 burle since 15 ge 13 actually form group friend indice 2 4 5 form second group they spend 3249 burle restaurant total budget 34512 burle 12 ge 9 it show able form group group friend group pay billSo maximum number group friend split 2 Friends visit restaurant maximum day note 3rd friend visit restaurant alloutput maximum number day friend visit restaurant give n x y,greedy
polycarp give row tile each tile contain lowercase letter Latin alphabet the entire sequence tile form stre sin word give string s consist lowercase Latin lettersinitially polycarp tile row want tile jumping tile jump ith tile jth tile cost equal indexs_i indexs_j indexc index letter c alphabet example indexa1 indexb2 indexz26 Polycarp want nth tile minimum total cost time maximum number jumpsin word possible way tile minimum total cost choose maximum number jumpspolycarp visit tile oncepolycarp ask help print sequence index string s jump,greedy
Vlad go appartment house entrance 1th floor he go elevator apartmentThere elevators house Vlad know sure elevator currently floor currently motionless second elevator locate floor b go floor c b ne c please note b1 elevator leave floor 1 vlad time enter if elevator immediately start floor 1 if second reach floor c floor 1 it take x y seconds elevator floor x floor yVlad want elevator come fast help choose elevator,brute force
consider segment 0 d coordinate line there n lantern m point interest segmentfor lantern choose power integer 0 d inclusive a lantern coordinate x illuminate point interest coordinate y x y equal power lanternA way choose power value lantern consider valid point interest illuminate lanternyou process q query each query represent integer f_i to answer ith query add lantern coordinate f_i calculate number valid way assign power value lantern print modulo 998244353 remove lantern add,brute force
there n fisherman return fishing trip the ith fisherman catch fish size a_ithe fisherman choose order go tell size fish catch order permutation size n however entirely honest increase size fish caughtformally suppose choose order fisherman p_1 p_2 p_3 dot p_n let b_i value ith fisherman order tell fisherman the value b_i choose follow fisherman order honestly tell actual size fish catch b_1 a_p_1 fisherman want tell value strictly great value tell previous fisherman divisible size fish fisherman catch so 1 b_i small integer strictly great b_i1 divisible a_p_i for example let n 7 1 8 2 3 2 2 3 if choose order p 1 6 7 5 3 2 4 b_1 a_p_1 1 b_2 small integer divisible 2 great 1 2 b_3 small integer divisible 3 great 2 3 b_4 small integer divisible 2 great 3 4 b_5 small integer divisible 2 great 4 6 b_6 small integer divisible 8 great 6 8 b_7 small integer divisible 3 great 8 9 you choose order fisherman way yield minimum possible sumlimits_i1n b_i,greedy
let define fx positive integer x length base10 representation x lead zero I like digital logarithm similar digital root familiar thatyou give array b contain n positive integer in operation follow pick integer 1 n assign fa_i a_i fb_i b_i two array consider similar rearrange element equal eg a_i b_i 1 nwhat small number operation require b similar,greedy
let define value permutation p n integer 1 2 n permutation array element 1 n occur exactly follow initially integer variable x equal 0 x p_1 add p_1 x set x x p_1 assign 0 x x p_2 add p_2 x set x x p_2 assign 0 x x p_n add p_n x set x x p_n assign 0 x value permutation x end process for example p 4 5 1 2 3 6 value x change follow 0 4 9 0 2 5 11 value permutation 11you give integer n find permutation p size n maximum possible value permutation size n if permutation print,dynamic programming
